target,dim01,dim02,dim03,dim04,dim05,dim06,dim07,dim08,dim09,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32
201803_26_0.jpg,0.15044072,0.08150284,-0.14970651,-0.12260664,0.07125415,0.32346427,0.0875439,0.04530256,-0.33063957,-0.0057211323,-0.37110668,-0.2685624,0.12666583,0.21955684,0.34331727,-0.15277046,-0.20972219,-0.14570981,-0.11054716,-0.12851585,0.04329935,0.25508708,-0.17064781,-0.11673075,-0.43049115,0.25461522,0.1722758,0.23378259,0.23941636,-0.1798644,-0.16401309,-0.02230199
2949993309_3suySCQH_01_0.jpg,0.033263244,0.15424119,-0.06426145,-0.026794758,0.036118798,0.22106424,0.057851844,0.032728486,-0.23226319,-0.03924277,-0.26217988,-0.20741381,0.038247366,0.24295737,0.21078053,-0.20977387,-0.11093657,-0.028831948,-0.17674409,-0.013481675,0.043195743,0.15960845,0.04709372,-0.0033880654,-0.22512317,0.15550163,0.20861346,0.20737642,0.032745384,-0.037751094,-0.15849975,-0.025328755
imagFs (1)_0.jpg,-0.11966766,0.07804631,0.10584119,0.06303745,-0.12065382,0.14171416,-0.106602915,0.09579411,-0.15276308,0.0668474,-0.107445925,-0.13795364,-0.10960599,0.13174209,0.13600579,-0.12813035,-0.09757321,-0.057916608,-0.126715,0.13679472,0.072737314,0.08855714,0.07933565,0.13542406,-0.08965744,0.12590621,0.14703341,0.13054903,-0.08180839,0.06924143,-0.16133349,-0.1512106
f97dc8f650052d64bb74c43F97d4d2ff_0.jpg,-0.058365386,0.101502046,0.11160582,0.14010689,-0.06056939,0.10738961,-0.06762026,0.0879246,-0.076383546,0.08318191,-0.04178788,-0.10367564,-0.04521542,0.10080485,0.11440878,-0.08764395,-0.077768706,-0.04369019,-0.12611988,0.13188356,0.09396969,0.1220244,0.07869561,0.09958483,-0.10328625,0.14353964,0.077532455,0.05755056,-0.1314237,0.112766206,-0.062976606,-0.13993588
4746c39F77d54cc50d822088b3a41cF8_0.jpg,-0.111535154,0.11729941,0.1409217,0.08250116,-0.12472563,0.059673723,-0.07043082,0.112243764,-0.07001302,0.11368321,-0.067141056,-0.14062022,-0.07172158,0.060290154,0.100725986,-0.14147867,-0.07887204,-0.09296678,-0.078841425,0.14611724,0.14415844,0.11111983,0.14429194,0.05927142,-0.06014987,0.09277766,0.10855078,0.10486575,-0.0849692,0.07335564,-0.09008908,-0.1406102
20201012-KM60002001_0.jpg,0.575966,-2.6391969,-0.1606295,0.35405833,-0.033228308,-2.2073793,0.12652288,-0.031352106,2.3448436,0.3996219,1.9082158,2.1954548,0.050957136,-1.6910307,-1.9742084,2.3782635,2.1290824,-1.3929204,2.4037569,0.0802601,0.14198874,-2.8196404,-0.21464354,-0.032619637,2.177177,-2.2262125,-2.1861024,-2.4618506,0.4405015,-0.6094974,2.7397263,-0.21359849
20201015-KM50001801_0.jpg,0.06829209,0.22893167,-0.19611762,-0.12571834,0.083702676,0.46221268,0.0071515716,0.02799072,-0.3229716,0.041470632,-0.48736042,-0.35891795,0.061074518,0.35271114,0.4360024,-0.26425508,-0.28473467,-0.13563369,-0.3005795,-0.11355174,0.10158142,0.23857857,0.008199526,-0.06325892,-0.4568121,0.35011122,0.34846562,0.37598908,0.17894197,-0.15523683,-0.20559731,-0.08709648
20201015-HM50001801_0.jpg,-0.023308026,0.10917674,0.025738897,-0.0035393971,0.10541488,0.29919904,-0.038510624,0.07250229,-0.24707234,0.10713496,-0.4539945,-0.37430316,-0.011660562,0.21616685,0.49180982,-0.20380808,-0.36770743,-0.16407265,-0.18299498,-0.00084513327,0.06274655,0.34558198,-0.117191486,-0.005617705,-0.48772734,0.33648792,0.37734535,0.1926058,0.11994626,0.059476785,-0.2731704,-0.07346914
5_0.jpg,-0.16668308,2.5776534,1.7259741,-0.19157782,-0.29512832,-0.44985455,0.3599849,-2.3511472,-0.71653914,-2.193808,2.1956136,0.01117667,0.22070102,0.4111596,-2.182586,-2.5323274,-0.16603237,2.5598736,-2.489717,-0.082930095,-2.374995,-0.62375665,2.4424675,-0.2278363,2.1791577,-0.2981542,-0.119857475,-2.2315693,-2.4413095,0.71492463,-0.033054106,2.5457428
unnamFd (9)_0.jpg,-0.14249377,0.1231776,0.12995511,0.17797995,-0.12631412,0.13640048,-0.08549862,0.120966375,-0.1288782,0.1585755,-0.087846465,-0.1766214,-0.1790514,0.19181097,0.1819718,-0.12836342,-0.18849269,-0.11200141,-0.1819052,0.10538389,0.18228364,0.14068915,0.18366618,0.1563788,-0.15044208,0.16249524,0.17500408,0.090010524,-0.13631906,0.10014153,-0.11641072,-0.1267481
